"","FIPS","State","County","Age65AndOlderNum2020","Age65AndOlderPct2020","AsianNonHispanicNum2020","AsianNonHispanicPct2020","AvgHHSize","BlackNonHispanicNum2020","BlackNonHispanicPct2020","Deep_Pov_All","Deep_Pov_Children","Ed1LessThanHSNum","Ed1LessThanHSPct","Ed2HSDiplomaOnlyNum","Ed2HSDiplomaOnlyPct","Ed3SomeCollegeNum","Ed3SomeCollegePct","Ed4AssocDegreeNum","Ed4AssocDegreePct","Ed5CollegePlusNum","Ed5CollegePlusPct","ESTIMATESBASE2020","FemaleHHNum","FemaleHHPct","ForeignBornAfricaNum","ForeignBornAfricaPct","ForeignBornAsiaNum","ForeignBornAsiaPct","ForeignBornCaribNum","ForeignBornCaribPct","ForeignBornCentralSouthAmNum","ForeignBornCentralSouthAmPct","ForeignBornEuropeNum","ForeignBornEuropePct","ForeignBornMexNum","ForeignBornMexPct","ForeignBornNum","ForeignBornPct","HH65PlusAloneNum","HH65PlusAlonePct","HispanicNum2020","HispanicPct2020","HispanicPopChangeRate1020","LandAreaSQMiles2020","MedHHInc","Median_HH_Inc_ACS","MultipleRaceNum2020","MultipleRacePct2020","MultipleRacePopChangeRate1020","NativeAmericanNonHispanicNum2020","NativeAmericanNonHispanicPct2020","Natural_Change_Rate_2020_2021","NaturalChange1019","NaturalChangeRate1019","NaturalChg2020_2021","Net_InterMigration_2020_2021","Net_InterMigrationRate_2020_2021","Net_International_Migration_2010_2019","Net_International_Migration_Rate_2010_2019","Net_Migration_2020_2021","Net_Migration_Rate_2020_2021","NetMigration1019","NetMigrationRate1019","NonEnglishHHNum","NonEnglishHHPct","NonHispAsianPopChangeRate1020","NonHispBlackPopChangeRate1020","NonHispNatAmerPopChangeRate1020","NonHispWhitePopChangeRate1020","Num_inPOV_0_17_ACS","NumAll_inPOV_ACS","NumCivEmployed","NumCivLaborforce2007","NumCivLaborForce2008","NumCivLaborForce2009","NumCivLaborforce2010","NumCivLaborForce2011","NumCivLaborForce2012","NumCivLaborforce2013","NumCivLaborforce2014","NumCivLaborforce2015","NumCivLaborforce2016","NumCivLaborforce2017","NumCivLaborforce2018","NumCivLaborforce2019","NumCivLaborForce2020","NumCivLaborforce2021","NumEmployed2007","NumEmployed2008","NumEmployed2009","NumEmployed2010","NumEmployed2011","NumEmployed2012","NumEmployed2013","NumEmployed2014","NumEmployed2015","NumEmployed2016","NumEmployed2017","NumEmployed2018","NumEmployed2019","NumEmployed2020","NumEmployed2021","NumUnemployed2007","NumUnemployed2008","NumUnemployed2009","NumUnemployed2010","NumUnemployed2011","NumUnemployed2012","NumUnemployed2013","NumUnemployed2014","NumUnemployed2015","NumUnemployed2016","NumUnemployed2017","NumUnemployed2018","NumUnemployed2019","NumUnemployed2020","NumUnemployed2021","OwnHomeNum","OwnHomePct","PctEmpAgriculture","PctEmpChange0710","PctEmpChange0721","PctEmpChange1021","PctEmpChange1920","PctEmpChange2021","PctEmpConstruction","PctEmpFIRE","PctEmpGovt","PctEmpInformation","PctEmpManufacturing","PctEmpMining","PctEmpServices","PctEmpTrade","PctEmpTrans","PCTPOV017","PCTPOVALL","PerCapitaInc","Pop_change_Rate_2020_2021","PopChangeRate1019","PopChangeRate1020","PopDensity2020","POPESTIMATE2020","POPESTIMATE2021","POV017","POVALL","Poverty_Rate_0_17_ACS","Poverty_Rate_ACS","TotalHH","TotalOccHU","TotalPop2020","TotalPop25Plus","TotalPopACS","TotalPopEst2010","TotalPopEst2011","TotalPopEst2012","TotalPopEst2013","TotalPopEst2014","TotalPopEst2015","TotalPopEst2016","TotalPopEst2017","TotalPopEst2018","TotalPopEst2019","TotalPopEstBase2010","Under18Num2020","Under18Pct2020","UnempRate2007","UnempRate2008","UnempRate2009","UnempRate2010","UnempRate2011","UnempRate2012","UnempRate2013","UnempRate2014","UnempRate2015","UnempRate2016","UnempRate2017","UnempRate2018","UnempRate2019","UnempRate2020","UnempRate2021","WhiteNonHispanicNum2020","WhiteNonHispanicPct2020"
"1",0,"US","United States",54136629,16.33330712,19618719,5.91907122,2.6,39940338,12.05021108,5.777384811,7.691714615,25050356,11.12595968,59636386,26.4871296,45042031,20.00513768,19614710,8.711751343,75808834,33.6700217,331449281,15273279,12.31606872,2477515,0.751387182,13969568,4.236726855,4502553,1.365545965,17932984,5.43876195,4844388,1.469218571,10850260,3.290695025,44844267,13.60048573,13888306,11.19925401,62080044,18.72987741,22.98534673,3533038.28,69717,69021,33848943,10.21240502,275.7205986,2251699,0.67934949,0.044658376,11232413,3.631,148043,244622,0.073792218,7685444,2.485,244622,0.073792218,7685444,2.485,5241326,4.226501148,35.62772777,5.982325248,0.204752975,-2.601345738,12443424,40661636,157510982,152191050,153761037,153825454,154254521,154520678,155038121,155362278,155936159,156840649,158674951,160744592,162039458,163815890,161207103,161758337,145156133,144860349,139594699,139393814,140688861,142527201,143905037,146318952,148554918,150949349,153744181,155727518,157805900,148183367,153099687,7034917,8900688,14230755,14860707,13831817,12510920,11457241,9617207,8285731,7725602,7000411,6311940,6009990,13023736,8658650,80152161,64.6331101,1.201674306,-4,5.5,9.8,-6.1,3.3,6.804088111,6.655580371,4.697869257,1.924477241,10.02216341,0.457961719,49.14160969,13.44038094,5.654194956,16.9,12.8,37638,0.118450594,6.116,7.3535453,93.8142343,331501080,331893745,12243219,41393176,17.04670519,12.63185031,124010992,124010992,331449281,225152317,329725481,309321666,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523,308758105,73106000,22.05646661,4.6,5.8,9.3,9.6,9,8.1,7.4,6.2,5.3,4.9,4.4,3.9,3.7,8.1,5.4,191697647,57.83619335
"2",1000,"AL","Alabama",864663,17.20969317,75918,1.511022776,2.57,1288159,25.63868368,7.077315889,10.39058157,430047,12.59729984,1041209,30.4999732,728823,21.34929871,303299,8.884490406,910425,26.66893784,5024279,264411,13.89455397,9047,0.181024176,55422,1.108955664,6456,0.129180069,77668,1.554082648,19914,0.398465286,47147,0.943378671,173429,3.47019364,229270,12.04792686,264047,5.255420728,42.26516956,50647.13066,53990,54943,256953,5.11422634,260.630728,23119,0.460145625,-0.170116122,67083,1.402,-8548,1244,0.024757189,38731,0.809,23622,0.470107982,50665,1.059,22804,1.19832915,43.41198028,3.513396018,-10.76157023,-1.031424896,245896,769819,2173597,2180448,2176854,2156593,2197028,2202337,2178508,2172102,2164715,2152295,2155729,2203458,2240477,2271892,2268309,2246993,2092030,2049579,1938784,1968824,1991379,2000848,2012828,2018705,2020443,2029157,2103873,2153080,2199868,2121149,2169721,88418,127275,217809,228204,210958,177660,159274,146010,131852,126572,99585,87397,72024,147160,77272,1320571,69.39478703,1.003451882,-5.9,3.7,10.2,-3.6,2.3,6.891479883,5.545186159,5.437714535,1.376336092,14.17811121,0.375966658,45.46624788,14.07556231,5.649943389,22.7,16.3,30458,0.29999186,2.461,5.116244914,99.20165139,5024803,5039877,250327,800848,22.26193645,15.78512663,1902983,1902983,5024279,3413803,4997675,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,4780125,1107113,22.03526118,4.1,5.8,10.1,10.4,9.6,8.2,7.3,6.7,6.1,5.9,4.5,3.9,3.2,6.5,3.4,3171351,63.12051938
"3",1001,"AL","Autauga",9217,15.67383726,873,1.484567639,2.64,11352,19.30448091,6.2502163,8.592895178,4126,10.41550967,12977,32.75862069,7774,19.62437522,3593,9.070025749,11144,28.13146867,58805,3001,13.73078331,116,0.199179244,419,0.719449166,26,0.044643624,366,0.628444857,299,0.513401672,262,0.449870362,1241,2.1308745,2531,11.58034407,2117,3.600034011,61.60305344,594.4561071,66444,62660,3157,5.368591106,263.2911392,184,0.312898563,-0.054350595,720,1.315,-32,5,0.008492281,-16,-0.029,250,0.424614026,376,0.686,32,0.146412884,86.9379015,18.31162064,-15.20737327,-1.356929354,2560,7847,25871,24434,24687,24660,25749,25845,25762,25783,25639,25541,25710,26269,26475,26684,26405,26341,23610,23376,22464,23481,23688,23932,24155,24150,24206,24395,25224,25524,25920,24985,25599,824,1311,2196,2268,2157,1830,1628,1489,1335,1315,1045,951,764,1420,742,16227,74.24505857,0.579799776,-0.5,8.4,9,-3.6,2.5,7.181786556,6.084032314,9.133779135,1.202118202,12.08689266,0.193266592,44.29670287,14.78489428,4.45672761,16.1,10.7,30968,0.370263431,2.001,7.758699676,98.92235826,58877,59095,2199,6296,18.67386389,13.57847378,21856,21856,58805,39614,58239,54773,55227,54954,54727,54893,54864,55243,55390,55533,55869,54597,14282,24.28705042,3.4,5.3,8.9,8.8,8.3,7.1,6.3,5.8,5.2,5.1,4,3.6,2.9,5.4,2.8,41582,70.71167418
"4",1003,"AL","Baldwin",48517,20.93352375,2029,0.875448187,2.57,18001,7.766852054,4.043401319,5.503711999,14555,8.985843669,44342,27.37549158,35174,21.71542873,15344,9.472949863,52562,32.45028615,231767,7224,8.285353825,195,0.085853538,1660,0.730855762,275,0.121075503,3759,1.654992053,1622,0.714125329,1679,0.739220978,7938,3.494899419,11251,12.90400275,12686,5.473600642,58.73373373,1589.836014,65658,64346,15024,6.482372383,451.7443996,1291,0.557024943,-0.260358583,1667,0.91,-607,63,0.02702239,1307,0.714,6761,2.899974264,38455,21.001,730,0.837251978,51.41791045,6.100436166,12.65270506,22.53285151,5449,20598,104367,82829,83205,82314,83551,85077,84507,85206,86546,87493,89778,93152,96252,98921,98910,99427,80213,79222,74950,75283,77459,77973,79466,81265,82619,84972,89286,92769,96044,92751,96481,2616,3983,7364,8268,7618,6534,5740,5281,4874,4806,3866,3483,2877,6159,2946,67242,77.1212295,1.534009792,-6.1,20.3,28.2,-3.4,4,8.686653827,7.13348089,5.133806663,1.364415955,9.465635689,0.216543544,45.3131737,16.50138454,4.650895398,16.4,10.8,35384,2.639615682,21.911,27.15935588,145.780444,233140,239294,8207,25526,11.29982166,9.204904993,87190,87190,231767,161977,227131,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234,182265,49296,21.26963718,3.2,4.8,8.9,9.9,9,7.7,6.7,6.1,5.6,5.4,4.2,3.6,2.9,6.2,3,186495,80.46658929
"5",1005,"AL","Barbour",4963,19.67648575,103,0.408357452,2.45,11850,46.9809301,12.82696629,26.72925848,4378,24.32898027,6600,36.67685468,3689,20.50013893,1321,7.340928036,2007,11.15309808,25223,1888,20.77464789,0,0,94,0.372144582,0,0,494,1.955738549,29,0.114810563,402,1.591511936,659,2.60897106,1489,16.38424296,1510,5.986599532,8.868060562,885.008019,38649,36422,700,2.775244816,171.3178295,58,0.229948856,-0.476568705,-237,-0.867,-120,1,0.003971406,44,0.161,-96,-0.381254964,-2404,-8.797,117,1.287411972,-3.738317757,-7.566302652,-3.333333333,-13.64025863,2283,5890,8561,10363,10175,9944,10219,9843,9377,9096,8859,8590,8334,8415,8505,8637,8680,8197,9698,9249,8635,8978,8716,8273,8152,7930,7823,7638,7914,8071,8292,8004,7728,665,926,1309,1241,1127,1104,944,929,767,696,501,434,345,676,469,5654,62.21390845,5.478331971,-7.4,-20.3,-13.9,-3.5,-3.4,4.590585212,3.87805163,7.137016704,0.58404392,25.4175914,0,35.79021142,10.75808901,6.366078729,35.1,23,21325,-0.85782367,-9.664,-8.13635867,28.50030673,25180,24964,1776,5089,43.74401226,26.47191011,9088,9088,25223,17995,25259,27327,27341,27169,26937,26755,26283,25806,25157,24872,24686,27455,5089,20.17602981,6.4,9.1,13.2,12.1,11.4,11.8,10.4,10.5,8.9,8.4,6,5.1,4,7.8,5.7,11086,43.95194862
"6",1007,"AL","Bibb",3693,16.56573812,26,0.116628538,2.96,4390,19.69228009,9.076190476,17.51313485,3125,19.46191692,7052,43.9185402,2886,17.97346951,1081,6.732266301,1913,11.91380706,22293,805,11.36524072,0,0,64,0.285561306,25,0.111547385,89,0.397108692,67,0.298946993,31,0.138318758,245,1.093164376,747,10.54637865,740,3.319427623,82.26600985,622.4695701,48454,54277,759,3.40465617,273.8916256,39,0.174942807,-0.25199118,4,0.017,-56,2,0.008999685,120,0.525,310,1.394951177,-480,-2.099,23,0.324721163,18.18181818,-12.61942675,-39.0625,-4.356930952,1281,3558,8223,8810,8751,8696,8936,8932,8808,8699,8573,8552,8539,8648,8698,8772,8712,8560,8443,8225,7637,7931,8000,8037,8000,7959,7983,7986,8261,8354,8488,8073,8262,367,526,1059,1005,932,771,699,614,569,553,387,344,284,639,298,5580,78.78017789,1.398516357,-6.1,-2.1,4.2,-4.9,2.3,11.62592728,6.068344886,5.265718108,1.726863675,13.48656208,2.237626171,37.91803478,14.6418582,5.630548462,29,20.6,24787,1.142959996,-2.081,-2.714379228,35.81379889,22223,22477,1275,4204,28.04290718,16.94285714,7083,7083,22293,16057,22412,22870,22745,22667,22521,22553,22566,22586,22550,22367,22394,22915,4760,21.3519939,4.2,6,12.2,11.2,10.4,8.8,8,7.2,6.7,6.5,4.5,4,3.2,7.3,3.5,16442,73.75409321
"7",1009,"AL","Blount",10918,18.46315149,174,0.294246965,2.74,826,1.396827544,5.291223017,6.344745988,6650,16.35192289,14284,35.12343858,8732,21.47142717,4941,12.14960165,6061,14.90360972,59134,2289,10.74647887,21,0.035663338,112,0.19020447,28,0.047551118,2245,3.812580667,147,0.249643367,1936,3.287820121,2650,4.500373616,2435,11.43192488,5771,9.75919099,24.7514051,644.8906674,56894,52830,3656,6.182568404,434.502924,188,0.317922008,-0.323284982,453,0.79,-191,2,0.003385183,119,0.207,151,0.255581321,-3,-0.005,337,1.582159624,51.30434783,14.08839779,-34.03508772,-2.331606218,2337,7720,24244,26683,26693,26426,24928,25124,24978,24860,24571,24416,24380,25009,25337,25582,25116,25127,25816,25405,24005,22509,22951,23216,23277,23074,23089,23061,23979,24454,24861,23973,24529,867,1288,2421,2419,2173,1762,1583,1497,1327,1319,1030,883,721,1143,598,16865,79.17840376,1.456030358,-12.8,-5,9,-3.6,2.3,9.52400594,4.458835176,3.37815542,0.837320574,17.03514272,0.37122587,39.4984326,15.88434252,7.556508827,16.7,12,27309,-0.067703661,0.784,3.161089983,91.69616337,59081,59041,2236,6992,17.28166827,13.23663049,21300,21300,59134,40668,58884,57376,57560,57580,57619,57526,57526,57494,57787,57771,57826,57322,13731,23.22014408,3.2,4.8,9.2,9.7,8.6,7.1,6.4,6.1,5.4,5.4,4.1,3.5,2.8,4.6,2.4,49764,84.15463185
"8",1011,"AL","Bullock",1766,17.05126967,9,0.08689775,2.92,7388,71.3333977,10.1937828,18.27759963,1540,22.39348553,2841,41.31161844,1319,19.17987495,373,5.42387669,804,11.69114439,10357,875,25.59227844,5,0.048141729,0,0,0,0,120,1.155401502,0,0,89,0.856922781,125,1.203543231,562,16.43755484,503,4.856618712,-35.26383526,622.8150351,32027,29063,248,2.394515786,188.372093,1,0.009655306,0.009700262,70,0.644,1,1,0.009700262,76,0.699,10,0.097002619,-845,-7.769,137,4.007019596,-55,-3.260442582,-95,-4.640468227,1086,3065,3818,3666,3641,3713,4941,4829,4742,4774,4738,4765,4785,4890,4844,4861,4877,4606,3313,3244,3179,4365,4274,4240,4322,4323,4385,4457,4644,4619,4673,4582,4422,353,397,534,576,555,502,452,415,380,328,246,225,188,295,184,2220,64.93126645,4.085908853,31.8,33.5,1.3,-1.9,-3.5,4.793085385,2.357255107,8.931377685,1.545311682,42.64012572,0.314300681,25.90361446,6.652697748,2.776322682,41.7,32.1,21012,0.106702881,-7.126,-5.103536742,16.62933522,10309,10320,903,2764,49.74805314,30.9345983,3419,3419,10357,6877,10386,10876,10675,10606,10549,10663,10400,10389,10176,10174,10101,10911,2001,19.32026649,9.6,10.9,14.4,11.7,11.5,10.6,9.5,8.8,8,6.9,5,4.6,3.9,6,4,2281,22.02375205
"9",1013,"AL","Butler",3938,20.67083093,143,0.750616766,2.89,8389,44.03443389,6.66136725,11.18329466,1932,14.43514644,6050,45.20322773,2504,18.70890616,1019,7.61356844,1879,14.03915123,19051,1021,15.63313428,0,0,159,0.828945311,0,0,92,0.479641312,69,0.359730984,92,0.479641312,320,1.668317606,955,14.62256928,260,1.364757755,36.12565445,776.8385591,39442,45236,587,3.081203086,264.5962733,23,0.120728571,-0.42530848,-283,-1.352,-81,3,0.015752166,146,0.697,-80,-0.420057758,-1201,-5.738,0,0,-17.81609195,-7.273129214,-61.01694915,-14.52666902,1276,3430,7567,9124,9063,9033,9252,9180,9103,9144,9285,9113,9116,9046,9070,9317,9236,8796,8551,8263,7671,8015,8046,8029,8189,8496,8417,8484,8536,8642,8956,8345,8328,573,800,1362,1237,1134,1074,955,789,696,632,510,428,361,891,468,4728,72.39320165,2.391965112,-6.3,-2.6,3.9,-6.8,-0.2,4.387471918,4.268534426,6.382978723,1.123298533,24.79185939,0.066076384,39.92335139,11.77481168,4.889652438,34.2,22.7,23897,-0.845366238,-7.09,-9.051415477,24.52375693,19045,18884,1441,4226,29.60556845,18.17700053,6531,6531,19051,13384,19181,20932,20866,20670,20356,20327,20162,20012,19888,19631,19448,20940,4148,21.77313527,6.3,8.8,15.1,13.4,12.4,11.8,10.4,8.5,7.6,6.9,5.6,4.7,3.9,9.6,5.3,9679,50.80573198
"10",1015,"AL","Calhoun",20924,17.96961551,1164,0.99964789,2.56,25365,21.78356421,8.329655586,11.17081448,11867,14.78514384,27783,34.61495334,18585,23.15512752,6354,7.91647459,15674,19.52830071,116441,6263,14.13929337,98,0.084174361,817,0.701739317,73,0.06270131,1213,1.04187245,669,0.574618853,949,0.815117028,2939,2.524371913,5730,12.93599729,5010,4.302608188,28.69252504,605.8893427,48166,50977,6029,5.177729494,205.2658228,386,0.331498355,-0.337157897,-933,-0.788,-392,4,0.003440387,558,0.471,98,0.084289474,-3870,-3.268,528,1.192008127,40.24096386,4.913761013,-19.58333333,-8.897290485,5347,19870,49073,54983,54574,53760,51577,51271,49717,48381,47321,45808,45450,46304,46805,46804,47022,46118,52782,51371,48278,45798,45986,45196,44068,43562,42566,42470,43960,44652,45064,43367,44212,2201,3203,5482,5779,5285,4521,4313,3759,3242,2980,2344,2153,1740,3655,1906,31441,70.98092335,0.658203085,-13.2,-16.2,-3.5,-3.8,1.9,5.218755731,3.704684857,7.156684939,1.381615145,18.07918815,0.303629287,43.72669289,15.30780674,4.462739185,25.2,19.2,26440,-0.252868422,-4.056,-1.797220254,192.1819576,116266,115972,6205,21630,21.60229476,17.53843981,44295,44295,116441,80263,116425,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605,118526,24152,20.74183492,4,5.9,10.2,11.2,10.3,9.1,8.9,7.9,7.1,6.6,5.1,4.6,3.7,7.8,4.1,79519,68.29123762
